Zone.Code,Zone.Name,c71s05_257,c71s05_258,c71s05_259,c71s05_261,c71s05_264,c71s05_267,c71s18_053,c71s18_065,c71s18_066,c71s18_077
e010000,LUTON C.B.,50595,8411,18775,1428,327,671,608,22,57,459
e010001,AMPTHILL U.D.,1595,255,626,23,10,10,644,3,19,273
e010002,BEDFORD M.B.,21861,4407,8297,833,186,291,551,21,47,493
e010003,BIGGLESWADE U.D.,3111,483,1137,54,16,28,463,8,27,392
e010004,DUNSTABLE M.B.,9941,1450,3901,199,68,124,654,7,37,335
e010005,KEMPSTON U.D.,4009,585,1630,89,18,55,691,5,28,368
e010006,LEIGHTON-LINSLADE U.D.,6326,908,2478,114,30,70,624,8,40,387
e010007,SANDY U.D.,1654,216,553,24,11,14,551,4,31,346
e010008,AMPTHILL R.D.,10377,1480,3697,141,52,103,567,7,33,293
e010009,BEDFORD R.D.,11736,1695,4232,199,69,133,615,6,29,275
e010010,BIGGLESWADE R.D.,11400,1481,3627,182,46,104,471,7,40,295
e010011,LUTON R.D.,11261,1700,4203,244,62,145,570,19,61,305
e020012,READING C.B.,39313,8869,14760,1003,263,441,545,20,51,512
e020013,ABINGDON M.B.,5633,945,2200,127,32,87,521,7,33,348
e020014,MAIDENHEAD M.B.,14165,2688,5539,304,78,171,600,15,38,316
e020015,NEWBURY M.B.,7022,1256,2590,223,42,67,551,9,34,385
e020016,NEW WINDSOR M.B.,9773,2250,3819,154,82,103,542,11,35,377
e020017,WALLINGFORD M.B.,1823,323,740,28,8,13,447,11,30,349
e020018,WANTAGE U.D.,2273,426,806,36,14,31,442,9,30,331
e020019,WOKINGHAM M.B.,6155,926,2311,84,34,79,729,5,26,248
e020020,ABINGDON R.D.,11335,1813,3848,238,58,130,631,10,36,260
e020021,BRADFIELD R.D.,11957,1910,4408,200,79,118,640,13,44,256
e020022,COOKHAM R.D.,6095,1169,2177,115,46,50,626,11,38,239
e020023,EASTHAMPSTEAD R.D.,19082,2962,7790,367,95,258,408,8,36,274
e020025,FARINGDON R.D.,4463,732,1305,81,28,32,418,10,47,312
e020026,HUNGERFORD R.D.,3514,587,1014,78,37,28,417,9,50,348
e020027,NEWBURY R.D.,7457,1160,2474,158,53,83,547,12,50,301
e020028,WALLINGFORD R.D.,7006,1101,2455,151,54,94,554,11,45,355
e020029,WANTAGE R.D.,6478,943,2037,121,37,79,476,10,44,290
e020031,WINDSOR R.D.,5195,1178,1924,79,27,57,534,4,27,280
e020032,WOKINGHAM R.D.,23411,3195,8887,361,122,283,747,5,35,213
e030033,AYLESBURY M.B.,12266,2371,5186,233,70,124,444,16,51,406
e030034,BEACONSFIELD U.D.,3605,748,1104,75,27,36,592,5,21,230
e030035,BLETCHLEY U.D.,9440,1281,3939,155,45,158,435,6,49,408
e030036,BUCKINGHAM M.B.,1552,249,593,22,10,6,447,5,41,369
e030037,CHESHAM U.D.,6337,990,2653,80,31,50,605,9,34,339
e030038,ETON U.D.,1260,359,590,18,12,20,274,12,31,391
e030039,HIGH WYCOMBE M.B.,18861,3146,7497,466,103,239,543,23,48,370
e030040,MARLOW U.D.,3586,580,1403,62,17,42,648,5,26,291
e030041,NEWPORT PAGNELL U.D.,1814,269,756,23,4,18,645,0,25,368
e030043,SLOUGH M.B.,28818,5434,11884,878,165,382,482,40,75,416
e030044,WOLVERTON U.D.,4167,694,1415,55,26,48,618,6,31,546
e030046,AMERSHAM R.D.,20105,3712,6981,338,99,213,698,5,26,224
e030047,AYLESBURY R.D.,12667,2154,3826,164,64,111,522,5,40,293
e030048,BUCKINGHAM R.D.,2826,492,893,42,14,26,398,6,31,305
e030049,ETON R.D.,22608,4580,8568,576,159,226,555,16,45,270
e030050,NEWPORT PAGNELL R.D.,4812,786,1700,76,26,49,544,5,27,337
e030052,WING R.D.,3299,557,1140,47,20,35,466,6,29,298
e030053,WINSLOW R.D.,3022,479,1101,52,9,27,535,6,26,299
e030055,WYCOMBE R.D.,21848,3472,7734,423,102,245,679,7,32,222
e040056,CAMBRIDGE M.B.,26153,7634,10254,686,230,281,416,8,24,486
e040057,CHATTERIS U.D.,1757,305,585,65,19,33,432,8,28,382
e040058,ELY U.D.,2939,594,1097,75,14,45,386,4,30,418
e040059,MARCH U.D.,4238,647,1425,137,26,91,571,7,31,448
e040060,WHITTLESEY U.D.,3293,509,961,100,44,54,544,11,43,365
e040061,WISBECH M.B.,4927,997,1658,447,79,76,474,10,30,475
e040062,CHESTERTON R.D.,16206,2609,5873,267,65,156,571,6,25,285
e040063,ELY R.D.,4899,686,1560,124,37,63,474,12,34,324
e040064,NEWMARKET R.D.,7527,1064,2394,194,48,88,501,4,27,332
e040065,NORTH WITCHFORD R.D.,1393,227,420,39,15,18,558,5,21,327
e040066,SOUTH CAMBRIDGESHIRE R.D.,11491,1612,3955,157,50,109,487,6,31,289
e040067,WISBECH R.D.,4151,594,1204,203,48,58,517,15,34,300
e050068,BIRKENHEAD C.B.,40248,9610,13145,2657,654,550,423,13,57,583
e050069,CHESTER C.B.,18606,4350,6365,759,204,226,458,11,44,517
e050070,STOCKPORT C.B.,41118,9084,17072,1751,305,517,570,9,42,567
e050071,WALLASEY C.B.,26969,6452,9022,1652,383,382,519,8,43,559
e050072,ALDERLEY EDGE U.D.,1311,289,434,19,7,15,632,4,11,316
e050073,ALSAGER U.D.,2883,480,1175,66,21,37,669,2,23,290
e050074,ALTRINCHAM M.B.,12285,2612,4449,378,71,116,619,8,28,456
e050075,BEBINGTON M.B.,17730,3313,6559,527,133,240,603,5,30,390
e050076,BOLLINGTON U.D.,2048,348,946,38,7,28,599,3,33,440
