"","Zone.ID","Zone.name","l230001","l230004","l230005","l210002","l210003","l200001","l200002","l200003","l080020","l080134"
"1","01AA","City Of London",2169,15,25,2169,957,2169,265,757,2814,178
"2","01AB","Camden",80149,2087,1749,80149,44740,80132,8605,18436,90280,11875
"3","01AC","Hackney",75631,3734,1926,75631,46674,75593,4270,16070,85364,19198
"4","01AD","Hammersmith and Fulham",69823,1992,1446,69823,36320,69794,7774,21495,83121,11090
"5","01AE","Haringey",85281,2525,1813,85281,42598,85244,11348,31070,105693,18643
"6","01AF","Islington",74226,2220,1342,74226,44470,74206,4599,15216,84245,14350
"7","01AG","Kensington and Chelsea",68222,1602,1888,68222,34446,68170,10955,16196,76103,9018
"8","01AH","Lambeth",108920,3321,2223,108920,60358,108895,9454,30021,128932,22065
"9","01AJ","Lewisham",99198,2684,1357,99198,46751,99180,12115,35314,117421,16894
"10","01AK","Newham",80025,4347,1707,80025,42845,80000,10115,29735,95066,18347
"11","01AL","Southwark",96633,3660,1583,96633,56010,96570,6028,20209,108133,19653
"12","01AM","Tower Hamlets",62882,3967,2997,62882,38705,62844,2388,12203,69150,15053
"13","01AN","Wandsworth",109815,2768,1482,109815,48314,109786,14268,44608,141350,16289
"14","01AP","City of Westminster",83167,2264,2463,83167,48014,83140,10128,19032,95004,11208
"15","02AQ","Barking and Dagenham",58119,2022,300,58119,24951,58072,8202,21857,66222,7732
"16","02AR","Barnet",115456,2570,1218,115456,34879,115250,29449,49946,145789,11845
"17","02AS","Bexley",84908,1203,182,84908,22635,84876,22640,44244,110708,8447
"18","02AT","Brent",93968,4036,2247,93968,40756,93936,17510,36751,125224,16578
"19","02AU","Bromley",119574,1228,358,119574,30605,119361,32032,60998,148844,10478
"20","02AW","Croydon",124872,2538,1082,124872,38066,124850,26352,64515,166204,13923
"21","02AX","Ealing",108644,3853,1639,108644,39740,108571,21315,47966,143859,15827
"22","02AY","Enfield",101731,2264,812,101731,32379,101680,25607,49235,130255,13187
"23","02AZ","Greenwich",84757,2268,574,84757,36975,84693,11762,28128,98893,13171
"24","02BA","Harrow",75498,1842,587,75498,20032,75483,20381,38411,102020,7565
"25","02BB","Havering",89072,1334,201,89072,23175,88879,25023,45064,115101,8492
"26","02BC","Hillingdon",90999,2190,718,90999,22236,90783,20977,45445,122705,8404
"27","02BD","Hounslow",79789,2606,924,79789,25744,79668,14558,34163,107770,9572
