Zone Code,Zone Name,ks0170001,ks0170002,ks0180001,ks0180005,ks0180006,ks0180007,ks0180008,cs0210010,cs0210046,cs0520001,cs0520013,cs0520017
00AA,City of London,4338,2691,4338,619,319,907,345,4534,216,4337,42,87
00AB,Barking and Dagenham,67273,25511,67273,23166,1767,3494,1218,71537,5121,67275,2107,742
00AC,Barnet,126944,33925,126944,13276,5681,19453,4016,154748,7758,126942,2982,1609
00AD,Bexley,89451,21217,89451,1951,10240,5194,1467,108636,4530,89456,1055,402
00AE,Brent,99991,37287,99991,10592,13289,17043,3140,130146,9901,99991,4988,3790
00AF,Bromley,125866,28950,125866,1785,16030,9815,2430,147643,5672,125867,1109,408
00AG,Camden,91603,50946,91603,23784,10457,21489,3906,100582,7665,91604,2813,2605
00AH,Croydon,138999,41461,138999,14242,9097,16969,3166,166951,9163,139003,2817,1549
00AJ,Ealing,118023,37372,118023,13937,8340,18414,2957,153781,8844,118023,4752,2930
00AK,Enfield,110398,31496,110398,14859,4440,10216,2889,130425,8177,110401,2873,1768
00AL,Greenwich,92788,37883,92788,27143,9474,8312,2437,101036,8354,92782,2198,1183
00AM,Hackney,86042,48219,86042,26378,17291,12632,2128,90779,10143,86042,4532,3263
00AN,Hammersmith and Fulham,75438,36630,75438,14452,10178,14821,2830,90115,6447,75442,2299,1865
00AP,Haringey,92170,42820,92170,18196,9694,18557,3483,106526,9468,92170,3224,2697
00AQ,Harrow,79112,17972,79112,5558,3240,8315,2532,103049,4602,79111,2321,1257
00AR,Havering,91722,21374,91722,11385,1637,4504,1588,109098,4191,91723,1045,298
00AS,Hillingdon,96643,20972,96643,11502,4644,8104,2719,122590,4800,96641,2308,1027
00AT,Hounslow,83994,24049,83994,14437,5292,10839,2536,109494,5137,83990,3027,1545
00AU,Islington,82281,47413,82281,29320,11168,12958,2384,88592,7873,82285,2521,1870
00AW,Kensington and Chelsea,79146,39870,79146,6946,13619,19751,4217,81944,5844,79146,2173,2675
00AX,Kingston upon Thames,61426,14621,61426,5106,1726,8847,1830,78210,2696,61425,929,460
