GEO_CODE,GEO_LABEL,F244,F248,F989,F991,F2075,F2081,F2083,F2347,F2357,F2362,F2368
95AA     ,Antrim,27361,1505,20064,3616,20064,251,50,20064,2385,2817,490
95BB     ,Ards,38371,2327,31514,5233,31514,269,71,31514,4094,3376,741
95CC     ,Armagh,28911,2102,21594,3210,21594,310,80,21594,2029,3029,608
95DD     ,Ballymena,32020,1847,24817,4284,24817,266,73,24817,2778,3489,706
95EE     ,Ballymoney,14740,1201,11508,1778,11508,176,42,11508,1437,1621,330
95FF     ,Banbridge,24187,1401,18303,2596,18303,181,33,18303,1806,2392,560
95GG     ,Belfast,132666,11832,120595,48321,120595,2085,702,120595,30818,23632,3126
95HH     ,Carrickfergus,19596,1275,16200,3432,16200,104,20,16200,2214,1923,316
95II     ,Castlereagh,33982,1585,27733,5020,27733,251,61,27733,3882,2436,519
95JJ     ,Coleraine,27795,2075,23508,4986,23508,242,78,23508,3235,4027,661
95KK     ,Cookstown,17418,1253,12904,1960,12904,226,69,12904,1052,2032,344
95LL     ,Craigavon,45009,3254,35931,7946,35931,494,141,35931,4710,6468,824
95MM     ,Derry,47447,5904,40779,12839,40779,865,230,40779,9271,6980,928
95NN     ,Down,33648,2451,26206,4373,26206,348,90,26206,2575,4252,673
95OO     ,Dungannon,27881,2017,20270,3245,20270,442,129,20270,2083,3560,599
95PP     ,Fermanagh,29852,2093,23069,3702,23069,310,99,23069,2170,3361,756
95QQ     ,Larne,15962,987,13297,2873,13297,104,21,13297,1424,1927,305
95RR     ,Limavady,15067,1698,12098,2359,12098,173,46,12098,1557,1853,296
95SS     ,Lisburn,59061,3528,45723,8752,45723,690,139,45723,7699,4345,993
95TT     ,Magherafelt,21505,1397,15037,2152,15037,278,69,15037,1278,2171,482
95UU     ,Moyle,7837,777,6608,1262,6608,107,23,6608,890,1042,199
95VV     ,Newry and Mourne,46207,4315,35031,6466,35031,741,164,35031,3590,5955,915
95WW     ,Newtownabbey,42859,2346,33971,6933,33971,297,63,33971,4481,3616,622
95XX     ,North Down,39469,2188,33255,5815,33255,179,76,33255,3276,4311,537
95YY     ,Omagh,23693,1808,18443,3149,18443,308,83,18443,1813,3116,573
95ZZ     ,Strabane,17223,2030,14817,3357,14817,266,68,14817,2338,2285,520
E06000001,Hartlepool,43513,5194,40434,14268,40434,313,67,40434,9515,5971,554
E06000002,Middlesbrough,63582,7631,57203,21488,57203,777,205,57203,13654,9509,981
E06000003,Redcar and Cleveland,63530,6533,59605,16935,59605,399,64,59605,11568,7434,642
E06000004,Stockton-on-Tees,96259,8075,79159,20524,79159,620,120,79159,13625,10387,667
E06000005,Darlington,53443,4002,46670,13052,46670,322,76,46670,7228,8513,462
E06000006,Halton,63411,5151,53312,14380,53312,449,74,53312,13441,5212,541
E06000007,Warrington,107765,5961,85140,16409,85140,604,123,85140,13318,9549,721
E06000008,Blackburn with Darwen,67033,5575,57353,17502,57353,1258,245,57353,10391,8993,886
E06000009,Blackpool,68540,6337,64367,23635,64367,463,140,64367,6999,16770,709
E06000010,"Kingston upon Hull, City of",128130,15296,112596,45748,112596,1505,332,112596,31634,22984,1688
E06000011,East Riding of Yorkshire,168860,8795,143032,25200,143032,737,140,143032,13028,19648,2217
E06000012,North East Lincolnshire,79227,7486,69707,21481,69707,492,106,69707,10091,12627,706
E06000013,North Lincolnshire,84668,5869,70684,14617,70684,604,112,70684,10895,9477,996
E06000014,York,104945,4582,83552,21808,83552,640,211,83552,11679,14980,1035
E06000015,Derby,123691,9297,102271,29593,102271,1622,460,102271,20250,17193,1199
E06000016,Leicester,156425,14982,123125,45375,123125,4384,1596,123125,31270,27999,1912
E06000017,Rutland,18758,643,15002,1859,15002,58,14,15002,1685,2333,268
E06000018,Nottingham,142327,14775,126131,55093,126131,2484,737,126131,37486,29098,1894
E06000019,"Herefordshire, County of",95114,4353,78319,12826,78319,672,179,78319,10903,12147,1485
E06000020,Telford and Wrekin,84947,5806,66608,13748,66608,781,135,66608,13106,9979,814
E06000021,Stoke-on-Trent,119743,9715,107575,33225,107575,1534,330,107575,25999,15440,1789
E06000022,Bath and North East Somerset,89752,3548,73515,16158,73515,531,160,73515,10614,12447,1018
E06000023,"Bristol, City of",227119,13817,182747,52814,182747,2938,1186,182747,37083,43028,2543
E06000024,North Somerset,102607,4350,88227,15151,88227,461,105,88227,8103,14270,947
E06000025,South Gloucestershire,143198,5354,107538,14044,107538,751,165,107538,10633,14600,1222
E06000026,Plymouth,127742,8136,109307,30438,109307,1249,300,109307,21095,22026,1188
E06000027,Torbay,61795,4275,59010,15063,59010,459,123,59010,4762,13696,574
