geo_code,geo_label,TDS,quintile,longitude,latitude,latlong
95AA01,Aldergrove,-1.54027,3,-6.290504931,54.64328232,54.64328232 -6.290504931
95AA02,Balloo,1.82892,4,-6.237731189,54.70663172,54.70663172 -6.237731189
95AA03,Ballycraigy,2.89655,5,-6.184355374,54.70628357,54.70628357 -6.184355374
95AA04,Clady,-3.25269,1,-6.099088975,54.64575316,54.64575316 -6.099088975
95AA05,Cranfield,-0.78272,3,-6.357106599,54.70785719,54.70785719 -6.357106599
95AA06,Crumlin,-0.14036,3,-6.242235298,54.60759391,54.60759391 -6.242235298
95AA07,Drumanaway,-1.19629,3,-6.355712941,54.77240545,54.77240545 -6.355712941
95AA08,Farranshane,3.54169,5,-6.179210625,54.72179025,54.72179025 -6.179210625
95AA09,Fountain Hill,3.30162,5,-6.204057438,54.71501966,54.71501966 -6.204057438
95AA10,Greystone,2.12437,4,-6.190423406,54.71041099,54.71041099 -6.190423406
95AA11,Massereene,-2.25825,2,-6.222233995,54.72371643,54.72371643 -6.222233995
95AA12,Parkgate,-4.67346,1,-6.122782943,54.75665559,54.75665559 -6.122782943
95AA13,Randalstown,0.44805,4,-6.283939961,54.7312842,54.7312842 -6.283939961
95AA14,Shilvodan,-2.85334,2,-6.235047096,54.76941393,54.76941393 -6.235047096
95AA15,Springfarm,1.38808,4,-6.206814849,54.73345052,54.73345052 -6.206814849
95AA16,Steeple,3.17653,5,-6.201917627,54.72235174,54.72235174 -6.201917627
95AA17,Stiles,2.11455,4,-6.194113585,54.71689514,54.71689514 -6.194113585
95AA18,Templepatrick,-3.50433,1,-6.102857261,54.70346071,54.70346071 -6.102857261
95AA19,Toome,1.34583,4,-6.438721967,54.72419497,54.72419497 -6.438721967
95BB01,Ballygowan,-3.28564,1,-5.793015949,54.48989326,54.48989326 -5.793015949
95BB02,Ballyrainey,3.26542,5,-5.742851899,54.58229708,54.58229708 -5.742851899
