,geo_code,geo_label,longitude,latitude,TDS,quintile
1,95AA01,Aldergrove,-6.290504931,54.64328232,-1.54027,3
2,95AA02,Balloo,-6.237731189,54.70663172,1.82892,4
3,95AA03,Ballycraigy,-6.184355374,54.70628357,2.89655,5
4,95AA04,Clady,-6.099088975,54.64575316,-3.25269,1
5,95AA05,Cranfield,-6.357106599,54.70785719,-0.78272,3
6,95AA06,Crumlin,-6.242235298,54.60759391,-0.14036,3
7,95AA07,Drumanaway,-6.355712941,54.77240545,-1.19629,3
8,95AA08,Farranshane,-6.179210625,54.72179025,3.54169,5
9,95AA09,Fountain Hill,-6.204057438,54.71501966,3.30162,5
10,95AA10,Greystone,-6.190423406,54.71041099,2.12437,4
11,95AA11,Massereene,-6.222233995,54.72371643,-2.25825,2
12,95AA12,Parkgate,-6.122782943,54.75665559,-4.67346,1
13,95AA13,Randalstown,-6.283939961,54.7312842,0.44805,4
14,95AA14,Shilvodan,-6.235047096,54.76941393,-2.85334,2
15,95AA15,Springfarm,-6.206814849,54.73345052,1.38808,4
16,95AA16,Steeple,-6.201917627,54.72235174,3.17653,5
17,95AA17,Stiles,-6.194113585,54.71689514,2.11455,4
18,95AA18,Templepatrick,-6.102857261,54.70346071,-3.50433,1
19,95AA19,Toome,-6.438721967,54.72419497,1.34583,4
20,95BB01,Ballygowan,-5.793015949,54.48989326,-3.28564,1
21,95BB02,Ballyrainey,-5.742851899,54.58229708,3.26542,5
22,95BB03,Ballywalter,-5.516338452,54.52233612,-0.05265,3
23,95BB04,Bradshaw's Brae,-5.735982673,54.6058778,-1.54932,3
24,95BB05,Carrowdore,-5.562288962,54.57105788,-2.19212,2
25,95BB06,Central,-5.692561559,54.58680893,4.47673,5
26,95BB07,Comber East,-5.720676702,54.54991676,0.88108,4
27,95BB08,Comber North,-5.740022855,54.56241009,0.23030,4
28,95BB09,Comber West,-5.774496207,54.55819295,-2.55042,2
29,95BB10,Donaghadee North,-5.576006385,54.64749462,-0.18711,3
30,95BB11,Donaghadee South,-5.546943373,54.63494911,0.39562,4
31,95BB12,Glen,-5.708688936,54.61249795,2.44378,4
32,95BB13,Gregstown,-5.66938287,54.58512537,-0.20349,3
33,95BB14,Killinchy,-5.701326189,54.48098088,-4.33136,1
34,95BB15,Kircubbin,-5.520393159,54.43794507,-0.37565,3
35,95BB16,Lisbane,-5.753704864,54.52255143,-4.79032,1
36,95BB17,Loughries,-5.632284263,54.60500937,-0.52561,3
37,95BB18,Millisle,-5.562374709,54.61448572,-2.01862,2
38,95BB19,Movilla,-5.674363656,54.6004213,-3.13467,1
39,95BB20,Portaferry,-5.512740801,54.37980309,2.54762,4
40,95BB21,Portavogie,-5.470704045,54.46821331,-1.24224,3
41,95BB22,Scrabo,-5.709518245,54.56932901,3.85883,5
42,95BB23,Whitespots,-5.684884148,54.60960795,-3.69913,1
43,95CC01,Abbey Park,-6.664065661,54.36178721,3.89394,5
44,95CC02,Ballymartrim,-6.731937166,54.37989142,-0.42553,3
45,95CC03,Callan Bridge,-6.667121576,54.3484827,7.68197,5
46,95CC04,Carrigatuke,-6.648897797,54.23901098,0.26777,4
47,95CC05,Charlemont,-6.654079655,54.42928919,-0.22785,3
48,95CC06,Demesne,-6.639456547,54.33581258,-0.59460,3
49,95CC07,Derrynoose,-6.752567693,54.23728335,-0.00124,3
50,95CC08,Downs,-6.663156752,54.33967959,4.22880,5
51,95CC09,Hamiltonsbawn,-6.525856945,54.33821274,-2.92097,2
52,95CC10,Hockley,-6.563055022,54.38926225,-2.59411,2
53,95CC11,Keady,-6.70485646,54.24957713,4.67155,5
54,95CC12,Killeen,-6.589366743,54.28515553,-1.69426,2
55,95CC13,Killylea,-6.805845713,54.31150487,-0.22139,3
56,95CC14,Laurelvale,-6.459723325,54.36487347,-2.57716,2
57,95CC15,Loughgall,-6.568635965,54.43093407,-0.84224,3
58,95CC16,Markethill,-6.510915843,54.27356483,0.02363,3
59,95CC17,Milford,-6.704640207,54.31411401,-1.64983,3
60,95CC18,Observatory,-6.636477402,54.3607269,1.02498,4
61,95CC19,Poyntz Pass,-6.421002537,54.2991462,-1.71159,2
62,95CC20,Rich Hill,-6.544626387,54.37278407,-1.30805,3
63,95CC21,Tandragee,-6.403539961,54.36028679,-0.82591,3
64,95CC22,The Mall,-6.640604631,54.34831424,3.28986,5
65,95DD01,Academy,-6.300689031,54.8676168,-3.08809,2
66,95DD02,Ahoghill,-6.36070024,54.85149618,-2.31594,2
67,95DD03,Ardeevin,-6.299844796,54.8492679,-3.59512,1
68,95DD04,Ballee,-6.266408312,54.8500445,6.18637,5
69,95DD05,Ballykeel,-6.254909206,54.86004475,6.00406,5
70,95DD06,Ballyloughan,-6.294525699,54.87568215,-2.44533,2
71,95DD07,Broughshane,-6.225321067,54.89379601,-1.58183,3
72,95DD08,Castle Demesne,-6.270916859,54.86502306,6.13631,5
73,95DD09,Craigywarren,-6.31059036,54.92544151,-3.95349,1
74,95DD10,Cullybackey,-6.355306922,54.8849593,1.39275,4
75,95DD11,Dunclug,-6.273804848,54.88202215,6.02840,5
76,95DD12,Dunminning,-6.397815273,54.92471964,-3.42581,1
77,95DD13,Fair Green,-6.273216268,54.87363735,3.76478,5
78,95DD14,Galgorm,-6.326237448,54.86088694,-2.99314,2
79,95DD15,Glenravel,-6.227616206,54.97988301,-1.52567,3
80,95DD16,Glenwhirry,-6.109595978,54.83482059,-3.63184,1
81,95DD17,Grange,-6.392259863,54.81297402,-3.07980,2
82,95DD18,Harryville,-6.281282233,54.84574397,2.27573,4
83,95DD19,Kells,-6.261937445,54.80941096,-1.78615,2
84,95DD20,Moat,-6.267391521,54.85813483,5.46963,5
85,95DD21,Park,-6.283271276,54.8740235,1.35465,4
86,95DD22,Portglenone,-6.449050915,54.87597531,-0.42655,3
87,95DD23,Slemish,-6.128036075,54.91569569,-3.89445,1
88,95DD24,Summerfield,-6.260458718,54.87384077,0.16403,3
89,95EE01,Ballyhoe and Corkey,-6.266511795,55.06162341,0.76743,4
90,95EE02,Benvardin,-6.506952159,55.12697979,0.92349,4
91,95EE03,Carnany,-6.497872402,55.07222878,2.16653,4
92,95EE04,Clogh Mills,-6.371120951,54.99343953,-0.01102,3
93,95EE05,Dervock,-6.47210689,55.08897016,-0.54776,3
94,95EE06,Dunloy,-6.433506825,55.01542452,1.38501,4
95,95EE07,Fairhill,-6.501666717,55.06171487,1.32793,4
96,95EE08,Glebe,-6.519324255,55.07653471,0.38628,4
97,95EE09,Killoquin Lower,-6.48836429,55.00138729,0.04360,3
98,95EE10,Killoquin Upper,-6.467199819,54.94023514,1.41945,4
99,95EE11,Knockaholet,-6.384083494,55.04786333,-1.73296,2
100,95EE12,Newhill,-6.509366893,55.07642588,4.02140,5
101,95EE13,Route,-6.531474803,55.07151143,3.36365,5
102,95EE14,Seacon,-6.561669784,55.07450248,0.05794,3
103,95EE15,Stranocum,-6.37874747,55.10300142,0.02636,3
104,95EE16,The Vow,-6.543035531,55.00232873,-0.84606,3
105,95FF01,Ballydown,-6.255930286,54.3405231,-2.77383,2
106,95FF02,Ballyward,-6.01150677,54.30727255,-1.10377,3
107,95FF03,Banbridge West,-6.288903488,54.34475169,0.69423,4
108,95FF04,Bannside,-6.216993846,54.31186169,-2.61680,2
109,95FF05,Dromore North,-6.128744854,54.42067339,1.03051,4
110,95FF06,Dromore South,-6.128427081,54.40337184,-2.44441,2
111,95FF07,Edenderry,-6.287533624,54.35183832,3.90481,5
112,95FF08,Fort,-6.280531775,54.34053367,0.44969,4
113,95FF09,Gilford,-6.366477757,54.37472962,1.47580,4
114,95FF10,Gransha,-6.082114576,54.36626779,-2.39024,2
115,95FF11,Katesbridge,-6.130518648,54.29071674,-3.07935,2
116,95FF12,Lawrencetown,-6.309253416,54.36907813,-2.10681,2
117,95FF13,Loughbrickland,-6.322315067,54.30341232,-1.79481,2
118,95FF14,Quilly,-6.195595692,54.39781062,-4.26795,1
119,95FF15,Rathfriland,-6.162740956,54.23731184,1.59194,4
120,95FF16,Seapatrick,-6.266271578,54.36468789,-1.74266,2
121,95FF17,The Cut,-6.266381368,54.35005325,3.60345,5
122,95GG01,Andersonstown,-5.992004781,54.57260794,3.34023,5
123,95GG02,Ardoyne,-5.958440939,54.61548918,10.10929,5
