,Zone.Code,Zone.Name,TDS,quintile
1,e010000,LUTON C.B.,1.157713196,4
2,e010001,AMPTHILL U.D.,-3.372985923,1
3,e010002,BEDFORD M.B.,1.26021907,4
4,e010003,BIGGLESWADE U.D.,-2.539952252,1
5,e010004,DUNSTABLE M.B.,-0.990083388,2
6,e010005,KEMPSTON U.D.,-0.888525639,2
7,e010006,LEIGHTON-LINSLADE U.D.,-0.921986244,2
8,e010007,SANDY U.D.,-2.402521816,1
9,e010008,AMPTHILL R.D.,-2.650608687,1
10,e010009,BEDFORD R.D.,-2.345145428,1
11,e010010,BIGGLESWADE R.D.,-2.885808413,1
12,e010011,LUTON R.D.,-0.716459513,2
13,e020012,READING C.B.,0.697978914,4
14,e020013,ABINGDON M.B.,-1.691647263,2
15,e020014,MAIDENHEAD M.B.,-1.265390891,2
16,e020015,NEWBURY M.B.,-0.88732377,2
17,e020016,NEW WINDSOR M.B.,-1.660727438,2
18,e020017,WALLINGFORD M.B.,-3.13710338,1
19,e020018,WANTAGE U.D.,-2.790372935,1
20,e020019,WOKINGHAM M.B.,-2.17905868,1
21,e020020,ABINGDON R.D.,-1.729961493,2
22,e020021,BRADFIELD R.D.,-1.649232456,2
23,e020022,COOKHAM R.D.,-2.072203573,1
24,e020023,EASTHAMPSTEAD R.D.,-3.199956404,1
25,e020025,FARINGDON R.D.,-2.616685763,1
26,e020026,HUNGERFORD R.D.,-1.732862656,2
27,e020027,NEWBURY R.D.,-1.317335435,2
28,e020028,WALLINGFORD R.D.,-0.853513292,2
29,e020029,WANTAGE R.D.,-2.216798336,1
30,e020031,WINDSOR R.D.,-3.298587094,1
31,e020032,WOKINGHAM R.D.,-1.905549586,1
32,e030033,AYLESBURY M.B.,-1.411693974,2
33,e030034,BEACONSFIELD U.D.,-3.079033981,1
34,e030035,BLETCHLEY U.D.,-1.52729329,2
35,e030036,BUCKINGHAM M.B.,-2.911553821,1
36,e030037,CHESHAM U.D.,-2.222176107,1
37,e030038,ETON U.D.,-3.26290664,1
38,e030039,HIGH WYCOMBE M.B.,-0.46970593,3
39,e030040,MARLOW U.D.,-2.273023679,1
40,e030041,NEWPORT PAGNELL U.D.,-2.572471152,1
41,e030043,SLOUGH M.B.,0.636829931,4
42,e030044,WOLVERTON U.D.,-0.197370555,3
43,e030046,AMERSHAM R.D.,-2.564854952,1
44,e030047,AYLESBURY R.D.,-2.840849551,1
