Zone.Code,Zone.Name,TDS,quintile
00AAFA,Aldersgate,1.329682216,4
00AAFE,Bishopsgate,5.23406325,5
00AAFQ,Cripplegate,5.393792935,5
00AAFS,Farringdon Within,-0.739721449,3
00AAFT,Farringdon Without,7.81796578,5
00AAFX,Portsoken,12.36533508,5
00AAFY,Queenhithe,2.276652454,4
00AAFZ,Tower,4.029848088,5
00AAGB,Walbrook,8.587024159,5
00ABFX,Abbey,7.994397664,5
00ABFY,Alibon,5.012133985,5
00ABFZ,Becontree,5.020456633,5
00ABGA,Chadwell Heath,3.853299261,5
00ABGB,Eastbrook,1.607830942,4
00ABGC,Eastbury,4.989183763,5
00ABGD,Gascoigne,10.10113058,5
00ABGE,Goresbrook,5.256389033,5
00ABGF,Heath,6.217993147,5
00ABGG,Longbridge,0.270753703,4
00ABGH,Mayesbrook,4.998313753,5
00ABGJ,Parsloes,5.099930397,5
00ABGK,River,3.690436543,5
00ABGL,Thames,6.956927938,5
00ABGM,Valence,4.543171368,5
00ABGN,Village,5.257517032,5
00ABGP,Whalebone,0.840194984,4
00ACFX,Brunswick Park,0.27748655,4
00ACFY,Burnt Oak,6.810955862,5
00ACFZ,Childs Hill,4.698092504,5
00ACGA,Colindale,6.892676677,5
00ACGB,Coppetts,2.481597477,4
00ACGC,East Barnet,0.362684027,4
00ACGD,East Finchley,3.521161719,5
00ACGE,Edgware,1.912371387,4
00ACGF,Finchley Church End,0.934782841,4
00ACGG,Garden Suburb,-0.114839493,3
00ACGH,Golders Green,4.401193375,5
00ACGJ,Hale,1.397317765,4
00ACGK,Hendon,2.959687404,5
00ACGL,High Barnet,-1.169028836,3
00ACGM,Mill Hill,0.556168448,4
00ACGN,Oakleigh,-0.402130013,3
00ACGP,Totteridge,0.320554488,4
00ACGQ,Underhill,2.220295768,4
00ACGR,West Finchley,2.341047125,4
00ACGS,West Hendon,4.499426426,5
00ACGT,Woodhouse,2.824210858,5
00ADGA,Barnehurst,-1.715142889,2
00ADGB,Belvedere,1.541063566,4
00ADGC,Blackfen and Lamorbey,-2.488212613,2
00ADGD,Blendon and Penhill,-3.113932163,1
00ADGE,Brampton,-2.38884445,2
00ADGF,Christchurch,-1.537644966,3
00ADGG,Colyers,1.876999824,4
00ADGH,Crayford,0.778314047,4
00ADGJ,Cray Meadows,0.340248586,4
00ADGK,Danson Park,-1.206230868,3
00ADGL,East Wickham,-1.294040789,3
00ADGM,Erith,1.847467477,4
00ADGN,Falconwood and Welling,-2.417113901,2
00ADGP,Lesnes Abbey,1.875661869,4
00ADGQ,Longlands,-2.057497014,2
00ADGR,North End,3.887478768,5
00ADGS,Northumberland Heath,-0.8525244,3
00ADGT,St Mary's,-3.24830518,1
00ADGU,St Michael's,-1.977083581,2
00ADGW,Sidcup,-1.694073497,2
00ADGX,Thamesmead East,5.392531274,5
00AEGJ,Alperton,6.045610245,5
00AEGK,Barnhill,5.438951698,5
00AEGL,Brondesbury Park,5.846274916,5
00AEGM,Dollis Hill,5.315195466,5
00AEGN,Dudden Hill,6.285634598,5
00AEGP,Fryent,4.210975988,5
00AEGQ,Harlesden,9.993198793,5
00AEGR,Kensal Green,6.46803265,5
00AEGS,Kenton,1.476757423,4
00AEGT,Kilburn,9.926726797,5
00AEGU,Mapesbury,7.26550276,5
00AEGW,Northwick Park,2.16637599,4
00AEGX,Preston,3.95525067,5
00AEGY,Queens Park,5.816441651,5
00AEGZ,Queensbury,3.694861859,5
00AEHA,Stonebridge,11.18721458,5
00AEHB,Sudbury,5.689181306,5
00AEHC,Tokyngton,4.886082018,5
00AEHD,Welsh Harp,5.237029967,5
00AEHE,Wembley Central,6.641316832,5
00AEHF,Willesden Green,9.136803091,5
00AFGD,Bickley,-2.963123487,2
00AFGE,Biggin Hill,-3.546884744,1
00AFGF,Bromley Common and Keston,-0.983266093,3
00AFGG,Bromley Town,-0.381306379,3
00AFGH,Chelsfield and Pratts Bottom,-3.402363622,1
00AFGJ,Chislehurst,-2.412558008,2
