,geo_code,geo_label,TDS,quintile
1,95AA     ,Antrim,-0.956226127,3
2,95BB     ,Ards,-1.508749541,3
3,95CC     ,Armagh,-0.335041673,3
4,95DD     ,Ballymena,-1.053881907,3
5,95EE     ,Ballymoney,0.511010277,4
6,95FF     ,Banbridge,-1.793982725,2
7,95GG     ,Belfast,5.575808101,5
8,95HH     ,Carrickfergus,-1.086599927,3
9,95II     ,Castlereagh,-2.256459235,2
10,95JJ     ,Coleraine,0.751013451,4
11,95KK     ,Cookstown,0.096392519,3
12,95LL     ,Craigavon,1.10684298,4
13,95MM     ,Derry,5.487678981,5
14,95NN     ,Down,-0.015168529,3
15,95OO     ,Dungannon,1.026702653,4
16,95PP     ,Fermanagh,-0.253464691,3
17,95QQ     ,Larne,-0.965770489,3
18,95RR     ,Limavady,2.038472534,4
19,95SS     ,Lisburn,-0.276025745,3
20,95TT     ,Magherafelt,-0.344092817,3
21,95UU     ,Moyle,1.882696042,4
22,95VV     ,Newry and Mourne,1.840804527,4
23,95WW     ,Newtownabbey,-1.50922636,3
24,95XX     ,North Down,-2.282611989,2
25,95YY     ,Omagh,0.693806297,4
26,95ZZ     ,Strabane,3.311581715,5
27,E06000001,Hartlepool,3.849961309,5
28,E06000002,Middlesbrough,5.21728625,5
29,E06000003,Redcar and Cleveland,1.722597601,4
30,E06000004,Stockton-on-Tees,0.828929069,4
31,E06000005,Darlington,0.93713597,4
32,E06000006,Halton,1.405742946,4
33,E06000007,Warrington,-1.638019023,2
34,E06000008,Blackburn with Darwen,3.286557666,5
35,E06000009,Blackpool,2.966393548,5
36,E06000010,"Kingston upon Hull, City of",6.261914825,5
37,E06000011,East Riding of Yorkshire,-2.693351077,2
38,E06000012,North East Lincolnshire,1.86634605,4
39,E06000013,North Lincolnshire,-0.312823798,3
40,E06000014,York,-0.869965892,3
41,E06000015,Derby,2.618685687,5
42,E06000016,Leicester,7.13215145,5
43,E06000017,Rutland,-4.217405775,1
44,E06000018,Nottingham,7.317560683,5
45,E06000019,"Herefordshire, County of",-1.817868913,2
46,E06000020,Telford and Wrekin,0.660271671,4
47,E06000021,Stoke-on-Trent,3.05275073,5
48,E06000022,Bath and North East Somerset,-1.717101299,2
49,E06000023,"Bristol, City of",2.919328936,5
50,E06000024,North Somerset,-3.093093974,1
51,E06000025,South Gloucestershire,-3.763639557,1
52,E06000026,Plymouth,1.703682804,4
53,E06000027,Torbay,0.350456848,4
54,E06000028,Bournemouth,1.589960865,4
55,E06000029,Poole,-1.861666396,2
56,E06000030,Swindon,0.091863723,3
57,E06000031,Peterborough,2.541804732,5
58,E06000032,Luton,5.076137506,5
59,E06000033,Southend-on-Sea,1.65198268,4
60,E06000034,Thurrock,1.530784165,4
61,E06000035,Medway,0.580718677,4
62,E06000036,Bracknell Forest,-2.21721288,2
63,E06000037,West Berkshire,-3.127658465,1
64,E06000038,Reading,3.375627875,5
65,E06000039,Slough,5.532751978,5
66,E06000040,Windsor and Maidenhead,-1.879558122,2
67,E06000041,Wokingham,-4.89991849,1
68,E06000042,Milton Keynes,1.340991255,4
69,E06000043,Brighton and Hove,3.206556868,5
70,E06000044,Portsmouth,3.019737226,5
71,E06000045,Southampton,3.836940364,5
72,E06000046,Isle of Wight,-0.344653725,3
73,E06000047,County Durham,0.369969841,4
74,E06000048,Northumberland,-0.39414638,3
75,E06000049,Cheshire East,-3.028868282,1
76,E06000050,Cheshire West and Chester,-1.882622429,2
77,E06000051,Shropshire,-2.344086662,2
78,E06000054,Wiltshire,-2.535728803,2
79,E06000055,Bedford,0.660939005,4
80,E06000056,Central Bedfordshire,-2.825161751,2
81,E07000004,Aylesbury Vale,-2.262692734,2
82,E07000005,Chiltern,-4.063415276,1
83,E07000006,South Bucks,-3.959798108,1
84,E07000007,Wycombe,-1.340049,3
85,E07000008,Cambridge,2.888530819,5
86,E07000009,East Cambridgeshire,-3.08217092,1
87,E07000010,Fenland,-0.629096441,3
88,E07000011,Huntingdonshire,-2.804102338,2
89,E07000012,South Cambridgeshire,-4.100608907,1
90,E07000026,Allerdale,-1.73906143,2
91,E07000027,Barrow-in-Furness,-0.19457577,3
92,E07000028,Carlisle,-1.141623374,3
93,E07000029,Copeland,-0.83973771,3
94,E07000030,Eden,-4.561419085,1
95,E07000031,South Lakeland,-4.558289703,1
96,E07000032,Amber Valley,-2.085799882,2
97,E07000033,Bolsover,-0.002042728,3
98,E07000034,Chesterfield,0.802759198,4
99,E07000035,Derbyshire Dales,-3.671878753,1
100,E07000036,Erewash,-1.076117892,3
101,E07000037,High Peak,-1.871915598,2
102,E07000038,North East Derbyshire,-1.87834963,2
103,E07000039,South Derbyshire,-3.526964165,1
104,E07000040,East Devon,-3.727444662,1
105,E07000041,Exeter,0.370125635,4
106,E07000042,Mid Devon,-2.855892933,2
107,E07000043,North Devon,-1.988294007,2
108,E07000044,South Hams,-3.867797626,1
109,E07000045,Teignbridge,-3.260949873,1
110,E07000046,Torridge,-2.445641597,2
111,E07000047,West Devon,-3.225974056,1
112,E07000048,Christchurch,-2.641564724,2
113,E07000049,East Dorset,-5.404005071,1
114,E07000050,North Dorset,-3.260239715,1
115,E07000051,Purbeck,-2.774906308,2
116,E07000052,West Dorset,-3.33358657,1
117,E07000053,Weymouth and Portland,-0.027030903,3
118,E07000061,Eastbourne,1.412736207,4
119,E07000062,Hastings,3.615344264,5
120,E07000063,Lewes,-1.944846274,2
121,E07000064,Rother,-1.90508823,2
122,E07000065,Wealden,-4.431706998,1
123,E07000066,Basildon,0.538285095,4
124,E07000067,Braintree,-1.72846407,2
125,E07000068,Brentwood,-2.968030672,1
126,E07000069,Castle Point,-3.265815119,1
127,E07000070,Chelmsford,-2.471953341,2
128,E07000071,Colchester,-0.924893516,3
129,E07000072,Epping Forest,-1.964570071,2
130,E07000073,Harlow,2.726065934,5
131,E07000074,Maldon,-3.938039601,1
132,E07000075,Rochford,-4.068627823,1
133,E07000076,Tendring,-0.263864221,3
134,E07000077,Uttlesford,-3.923584713,1
135,E07000078,Cheltenham,-0.782269703,3
136,E07000079,Cotswold,-3.356943475,1
137,E07000080,Forest of Dean,-2.709109723,2
138,E07000081,Gloucester,0.072226191,3
139,E07000082,Stroud,-3.556421392,1
140,E07000083,Tewkesbury,-3.643382416,1
141,E07000084,Basingstoke and Deane,-2.139674989,2
142,E07000085,East Hampshire,-3.895123535,1
143,E07000086,Eastleigh,-3.311174862,1
144,E07000087,Fareham,-4.566961759,1
145,E07000088,Gosport,-0.017966755,3
146,E07000089,Hart,-5.251029659,1
147,E07000090,Havant,-0.351241741,3
148,E07000091,New Forest,-3.762561046,1
149,E07000092,Rushmoor,0.169905672,3
150,E07000093,Test Valley,-3.52519661,1
151,E07000094,Winchester,-3.173154602,1
152,E07000095,Broxbourne,-0.646707182,3
153,E07000096,Dacorum,-1.169781012,3
154,E07000097,East Hertfordshire,-3.418125497,1
155,E07000098,Hertsmere,-0.663077184,3
156,E07000099,North Hertfordshire,-1.723759043,2
157,E07000100,St Albans,-3.00554427,1
158,E07000101,Stevenage,1.409492721,4
159,E07000102,Three Rivers,-2.458664207,2
160,E07000103,Watford,1.704823327,4
161,E07000104,Welwyn Hatfield,0.456760951,4
162,E07000105,Ashford,-1.416842309,3
163,E07000106,Canterbury,-0.649399694,3
164,E07000107,Dartford,0.148459025,3
165,E07000108,Dover,0.846010079,4
166,E07000109,Gravesham,1.815468937,4
167,E07000110,Maidstone,-1.699424597,2
168,E07000111,Sevenoaks,-3.384364416,1
169,E07000112,Shepway,1.141160802,4
170,E07000113,Swale,-0.018735957,3
171,E07000114,Thanet,2.85389955,5
172,E07000115,Tonbridge and Malling,-2.898586051,2
173,E07000116,Tunbridge Wells,-1.108854222,3
174,E07000117,Burnley,2.515742471,5
175,E07000118,Chorley,-2.939266617,1
176,E07000119,Fylde,-2.983188381,1
177,E07000120,Hyndburn,1.299673007,4
178,E07000121,Lancaster,-1.161168295,3
179,E07000122,Pendle,1.619113661,4
180,E07000123,Preston,2.11065413,4
181,E07000124,Ribble Valley,-5.405325897,1
182,E07000125,Rossendale,-0.409669482,3
183,E07000126,South Ribble,-3.878922014,1
184,E07000127,West Lancashire,-1.860718437,2
185,E07000128,Wyre,-2.89948744,2
186,E07000129,Blaby,-4.516125122,1
187,E07000130,Charnwood,-2.165044846,2
188,E07000131,Harborough,-5.088710756,1
189,E07000132,Hinckley and Bosworth,-3.65103438,1
190,E07000133,Melton,-3.519711565,1
191,E07000134,North West Leicestershire,-2.716795983,2
192,E07000135,Oadby and Wigston,-2.983073159,1
193,E07000136,Boston,0.603381801,4
194,E07000137,East Lindsey,-1.115607327,3
195,E07000138,Lincoln,2.734716745,5
196,E07000139,North Kesteven,-3.955196922,1
